nomProduit,descriptionProduit,prix,nomMarchand,PuericultureEnfants,EquipementsMaisonHighTech,SportsLoisirsCulture,BricolageDecorationJardinerieAnimalerie,ModeAccessoires,AutoMoto,BeauteSanteBienEtre,HotelRestaurantCafes,BanquesAssurances,VoyagesTransports,Services,Bebe,Boissons,Boucherie,Boulangerie,CharcuterieTraiteur,Cremerie,EpicerieSalee,EpicerieSucree,FruitsFrais,LegumesFrais,ProduitsMer,ProduitsDietetiques,Surgeles
Moulin à sable,L'unité,10.99,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pain aux raisins,Le pain de 400g,3.04,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pelle et rateau,Le lot,1.5,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Performance énergétique Production de chauffage, ECS, électricité, ventilation, Choix et mise en ?uvre des procédés",Guide - broché - Cstb - juin 2016,65,Fnac,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petits pots à la pomme et banane, dès 4 mois, certifié AB",Les 2 pots de 130g,2.26,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Petits pots, poire williams, dès 4 mois, certifié AB",Les 2 pots de 130g,2.26,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Rideau de douche, blanc, 180x200cm, 100% EVA",L'unité,13.38,MONOP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seau château fort,L'unité,3.99,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soupe bio aux lentilles et légumes, sans gluten",La boîte de 400g,3.24,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Support Mobilis Car Air Vent pour Smartphone 3-6""",,24.99,Fnac,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tapis de change,Le paque de 12 changes,8.11,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toast aux 3 graines, tournesol, lin et sésame, certifié AB",Le paquet de 200g,3.32,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Toogood kids ketchup, sans gluten",Le sachet de 85g,2.08,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Vollkornbrot est une spécialité de pain au seigle complet,le paquet de 500g,2.13,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Vollkornbrot, pain de seigle complet égrugé tranché, certifié AB",Le paquet de 500g,2.34,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Yaourts aux fruits rouges,Les 8 pots de 125g,2.86,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
100% tartes et pizzas 100 % tartes et pizzas (ebook),Guide - broché - First - janvier 2016,3.99,Fnac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200 voitures de légende,Beau livre - cartonné - Larousse - octobre 2014,34.9,Fnac,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4 recettes, au boeuf, au lapin, au poulet et à l'agneau",L'assortiment de 4 sachets de 100g,1.64,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
500 jus green et détox,Guide - relié - La Martiniere Eds De - mars 2016,10.9,Fnac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 oeufs de poules élevées en plein air issus de l'agriculuture biologique - Source naturelle d'omega 3,La boite de 6 oeufs,2.95,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
A&o sable aperitif sans gluten baies roses basilic,Le sachet,4.11,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
A&o sable aperitif sans gluten oignons gingembre,le sachet,4.11,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Servante mobile bimatière à 4 compartiments KS Tools,Dimensions 72 x 52 x 32 cm,159.99,Fnac,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akai Set multimédia écran voiture APD710 2 x 17,8cm USB MP3",,128.73,Fnac,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anneaux pour rideau de douche, transparents, 60x40mm",La boîte de 16 anneaux,3.08,MONOP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antiseptique, bandes pansements 1m x 6cm",Le blister de 10 bandes,3.69,MONOP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architectures PKI et communications sécurisées,Manuel - broché - Dunod - juillet 2015,35,Fnac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspirateur souffleur broyeur Air pulsé 275km/h,Coloris Incolore,40.23,Fnac,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspirateur Souffleur Broyeur Black+Decker 2500W,"Dimensions Dimensions du produit emballé : 34 x 30 x 53,5 cm",64.98,Fnac,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspirateur Souffleur Broyeur Black+Decker 3000W+ Collecteur,"Dimensions Dimensions du produit emballé : 39 x 26,6 x 52,5 cm",145.99,Fnac,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspirateur souffleur broyeur Skil 0795AA,"Dimensions Dimensions du produit emballé : 46 x 32,9 x 23,5 cm",72.9,Fnac,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiette La Reine des Neiges,L'unité,3.99,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assiette Peppa Pig,L'unité,3.99,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boîte de 500 Sacs-poubelle, 100 litres, noir, 18 microns",Constructeur/Marque VISIODIRECT,106,Fnac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby-foot,Langues français,7,Fnac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bagels graines de pavot, petits pains spéciaux nature",Le sachet de 4 soit 340g,3.66,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Baguette de campagne,La baguette de 250g,1.39,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Baguettes tradition, précuites sur sol de pierre","Le sachet de 2 baguettes de 125g, soit 250g",1.27,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bain de pieds relaxant,Le flacon de 150ml,7.93,MONOP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bain dissolvant express mains & pieds.,Le pot de 75ml,7.2,MONOP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bain moussant lavande/vanille/onagre - Voyage de rêve,Le flacon de 400 ml,4.85,MONOP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baton magique, avec eau et paillettes",L'unité,3.99,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bâtonnets grand coraya,La boîte de 155g,2.37,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bébé dis-moi qui tu es,Guide - poche - Marabout - septembre 2013,6.5,Fnac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bière Blonde, 6,7% vol.",Les 6 bouteilles de 25cl,5.36,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Biscottes aux 6 céréales, blé, orge, riz, seigle, avoine et sarrasin",La boîte de 300g,1.85,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Biscottes aux céréales complètes, sachets fraîcheur",La boîte de 280g,2.2,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Blanc de dinde doré au four, soit 160 g","Les 4 tranches, 160g",2.72,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Blanc de dinde doré au four,La barquette de 300g,8.39,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Blanc de dinde supérieur,"Les 4 tranches, 160g",2.02,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Blanc de dinde supérieur,"Les 6 tranches, 240g",1.95,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Blanc de poulet de qualité supérieure, issu de l'Agriculture Biologique","Le blister de 2 tranches, 80g",3.29,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Blanc de poulet fumé,La boîte de 300g,9.46,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Blé et légumes variés, dès 6 mois, certifié AB",Les 2 pots de 200g,3.27,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Blediner Meli melo de courgettes et aubergines riz -des 12 mois,Les 2 bols de 200g,2.9,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bloc A4, 160 pages, grands carreaux, feuilles perforées, pochette de rangement intégrée",L'unité,4.99,MONOP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boisson gazeuse aux extraits végétaux,Les 12 boîtes de 15cl,4.94,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boisson gazeuse aux extraits végétaux,Les 4 bouteilles de 50cl,3.66,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Boîte de 100 sacs poubelle, 100 litres, noir, pour gravats, 140 microns",Constructeur/Marque VISIODIRECT,85,Fnac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valsez Saucisses,Public Légal (ESRB) 01/01/1950,81,Fnac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boîte de 200 Sacs-poubelle, 100 litres, noir, 45 microns",Constructeur/Marque VISIODIRECT,67,Fnac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sac poubelle 110L, VERT par 200",Constructeur/Marque VISIODIRECT,67,Fnac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boîte de rangement en carton, dos 3cm",L'unité,3.08,MONOP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bon ap boule au seigle 500g,Le paquet de 500g,2.39,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Bonduelle melanges 3 legumes choux fleurs brocolis carottes 750g,Sachet,3.29,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bottes Black Yéti Leg Avenue,Constructeur/Marque Leg Avenue,86.36,Fnac,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bouche évier, caoutchouc",L'unité,4.11,MONOP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouée Culotte Baby Float Intex,"Dimensions Dimensions du produit emballé : 26,67 x 20,32 x 4,45 cm",5.99,Fnac,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boule rustique,Le pain de 500g,2.47,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Briquets, taille mini, avec sécurité enfant",Les 4 briquets,4.99,MONOP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brochettes de dinde, poivrons et lardons","La barquette de 4, 380g",4.75,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Brosses à dents, souple",Les 4 brosses à dents,1.95,MONOP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burgers préparation à 51% de viande de boeuf hachée avec protéine végétales, surgelés","La boîte de 10 burgers, 1kg",4.11,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Cadenas antivol à code 3 chiffres Go Travel,,9.5,Fnac,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Café moulu pur arabica, Pérou",Le paquet de 250g,3.14,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Café moulu pur arabica,Les 2 paquets de 250g,7.26,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Carotte, potimarron, riz, dès 6 mois, certifié AB",Les 2 pots 200g,3.27,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Ceinture abdominale Slendertone Abs3,Marque Slendertone Type de sport Fitness,99.9,Fnac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceinture abdominale Slendertone Abs7,Marque Slendertone Type de sport Fitness,183.48,Fnac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceinture abdominale Slendertone Connect Abs,Marque Slendertone Type de sport Fitness,227.14,Fnac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceinture de flottation Arena JR 2 Bleu et orange,Marque Arena,19.99,Fnac,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceinture Magique Pierre de Sève et Holopax Tree Fu Tom,Age minimum 3 ans,27,Fnac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champagne brut rosé,La bouteille de 75cl avec étui,41.13,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Champagne brut,La bouteille de 75cl avec étui,31.83,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cheesecakes sauce aux fruits rouges, pâtisseries surgelées","La boîte de 2, 150g",3.49,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Chiffonnade de blanc de poulet fumé,La barquette de 142g,5.47,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chiffonnade de dinde allégée,La barquette de 142g,5.57,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chou-fleurs en fleurettes,Le paquet de 1kg,1.6,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cintre avec pince à barrettes, pour jupes et pantalons, blanche",L'unité,3.08,MONOP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cintre avec pince à barrettes, pour jupes et pantalons, grise",L'unité,3.08,MONOP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cintres blancs en plastique, crochet tournant",Les 3 cintres,4.11,MONOP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocktail de champignons,Le sachet de 450g,4.05,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Coffret Accessoires Babycook Solo & Duo Vert et Prune,Avantages produits Age conseillé 0,15.18,Fnac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffret Collector Captain America : Civil War Edition spéciale Fnac Blu-ray Inclus 2 figurines Marvel, le Art-of, le comics, un jeu de 11 photos Collector, un poster du film",Blu Ray - film - Marvel - octobre 2016,199.99,Fnac,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffret Pokémon Edition Anniversaire 20 ans Eté 2016,Age minimum 6 ans Nombre de joueurs 2+,28.19,Fnac,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffret ravioles Coffret avec 1 moule à ravioles et 1 petit rouleau en bois,Guide - Boites et Accessoires - Marabout - octobre 2010,69,Fnac,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coloriages en rouleaux,Gautier-Languereau - juin 2013,3,Fnac,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comment lacer ses chaussures ?,Document jeunesse dès 3 ans - broché - Tourbillon - février 2012,10.5,Fnac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Compotes dessert fruitier sans sucre ajoutées, pomme banane fraise, pomme pêche abricot, pomme nature","La boîte de 10 gourdes, soit 900g",5.45,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Compotes pomme, allégées en sucres, certifié Agriculture biologique",Les 4 gourdes de 90g,2.51,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Boîte de 50 Sacs-poubelle, 130 litres, noir, 50 microns",Constructeur/Marque VISIODIRECT,48,Fnac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concombre aigre doux cacher,Le bocal de 860g,5.41,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Concombres au sel,La boîte de 540g,2.87,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Concours Auxiliaire de puériculture, Entrée en IFAP, 1000 tests d'aptitude, Concours 2015-2016",Scolaire / Universitaire - broché - Vuibert - août 2015,17,Fnac,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Concours Auxiliaire de puériculture, Entrée en IFAP, Épreuve orale, Entraînement Concours 2016",Scolaire / Universitaire - broché - Vuibert - janvier 2016,15.5,Fnac,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Concours Auxiliaire de puériculture, Entrée en IFAP, Tout-en-un Concours 2015-2016, 6ème édition",Scolaire / Universitaire - broché - Vuibert - juillet 2016,24.9,Fnac,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Confit de volaille à l'estragon,Le pot de 90g,1.03,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Confiture abricots et pêches,Le bocal de 370g,2.58,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Construction d'escaliers en bois Du tracé aux finitions,Guide - broché - Eyrolles - janvier 2014,36,Fnac,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquillettes à base de maïs et riz sans gluten,Le sachet de 500g,2.39,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Coquillettes, sans gluten",La boîte de 400g,2.34,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Courgettes en rondelles,Le sachet de 1kg,1.8,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Couscous, sans gluten, semoule de maïs",La boite de 375 g,2.72,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Coussin siège-auto Cosyseat Babymoov, Noir / Zinc","Avantages produits Cale-tête ergonomique pour une tête bien ronde, Ajustable selon la taille de bébé, s'adapte à tous les sièges auto Matière principale du corps Polyester Age conseillé Dès la naissance",22.5,Fnac,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crème aux oeufs frais, caramel",Les 4 pots de 100g,2.21,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Crème de soin nutrition intense sans rinçage, à l'huile d'avocat et beurre de karité, cheveux très secs ou frisés",Le flacon de 200ml,4.7,MONOP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crème dessert au chocolat,Les 4 pots de 125g,1.41,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Crochet adhésif GM en plastique ABS 100%,Le paquet de deux crochets,4.11,MONOP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crochets ventouse, PVC",Le blister de 2 crochets,5.14,MONOP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croquettes panées de poisson, à l'ail et fines herbes, surgelées",La boîte de 300g,2.58,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Crousty Toast - Bacon de dinde, poulet et emmental fondu","La boîte de 2, 100g",3.04,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Demi-baguettes de campagne précuites, produit issu de l'agriculture biologique","Le paquet de 2 baguettes, 250g",2.15,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Démonte-pneus Silverline,Constructeur/Marque Silverline,9.33,Fnac,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dessert lacté à la fraise, dès 6 mois",Les 4 pots de 100g,1.9,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"Dessert lacté à la framboise, dès 6 mois",Les 4 pots de 100g,1.99,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"Dessert lacté à la vanille, dès 6 mois",Les 4 pots de 100g,1.77,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"Dessert lacté à l'abricot, dès 6 mois",Les 4 pots de 100g,1.99,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"Dessert lacté au fromage blanc nature et sucré, dès 6 mois",Les 4 pots de 100g,1.99,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Rouleau souple Up Pliable 49 touches clavier piano électronique,Constructeur/Marque Mondpalast,40.83,Fnac,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diane d'alray boucles d'oreilles femme,Constructeur/Marque DIANE D?ALRAY,18.53,Fnac,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
